Id,Text
1,嬴政
2,刘邦
3,刘彻
4,刘病已
5,刘秀
6,刘庆
7,刘贺
8,刘询
9,曹操
10,司马炎
11,李世民
12,李隆基
13,李显
14,李炎
15,赵匡胤
16,赵炅
17,赵顼
18,忽必烈
19,朱棣
20,朱元璋
21,朱见深
22,朱厚照
