Id,Text
1,Beautiful
2,Beau
3,Schön
4,Vakker
5,Pulcher
6,Hermoso
7,Bonito
8,Красивый
9,美しい
10,아름다운
11,Lover
12,Amoureux
13,Liebhaber
14,Elsker
15,Amator
16,Amante
17,Amante
18,Влюбленный
19,恋人
20,연인
21,Pain
22,Douleur
23,Schmerz
24,Smerte
25,Dolor
26,Dolor
27,Dor
28,Боль
29,苦痛
30,고통
31,Sadness
32,Tristesse
33,Traurigkeit
34,Sorg
35,Tristitia
36,Tristeza
37,Tristeza
38,Грусть
39,悲しみ
40,슬픔
,
,
,
,
,
