Id,Text
1,蒹葭苍苍
2,白露为霜
3,所谓伊人
4,在水一方
5,溯洄从之
6,道阻且长
7,溯游从之
8,宛在水中央
9,蒹葭萋萋
10,白露未晞
11,所谓伊人
12,在水之湄
13,溯洄从之
14,道阻且跻
15,溯游从之
16,宛在水中坻
17,蒹葭采采
18,白露未已
19,所谓伊人
20,在水之涘
21,溯洄从之
22,道阻且右
23,溯游从之
24,宛在水中沚
